City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Denpasar,ID,-8.65,115.2167,83.86,74,20,2.3,few clouds
1,Jamestown,US,42.097,-79.2353,40.59,50,100,1.99,overcast clouds
2,Bluff,NZ,-46.6,168.3333,57.47,90,100,18.32,light rain
3,Athabasca,CA,54.7169,-113.2854,-27.42,100,23,5.55,few clouds
4,Saint-Philippe,RE,-21.3585,55.7679,81.95,94,100,29.51,moderate rain
5,Kashi,CN,39.4547,75.9797,30.22,41,100,2.62,overcast clouds
6,Sitka,US,57.0531,-135.33,33.69,80,100,8.05,light snow
7,Rikitea,PF,-23.1203,-134.9692,77.49,71,49,6.64,scattered clouds
8,Dondo,MZ,-19.6094,34.7431,85.95,59,31,10.09,scattered clouds
9,Kamenka,RU,51.3223,42.7678,32.76,99,100,8.66,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,8.05,broken clouds
11,Busselton,AU,-33.65,115.3333,78.04,33,99,13.2,overcast clouds
12,Klaksvik,FO,62.2266,-6.589,38.32,96,100,10.74,overcast clouds
13,Abu Kamal,SY,34.4506,40.9171,60.73,33,2,10.18,clear sky
14,Anadyr,RU,64.75,177.4833,2.77,67,0,11.72,clear sky
15,Necochea,AR,-38.5473,-58.7368,86.04,42,99,9.17,overcast clouds
16,Albany,US,42.6001,-73.9662,37.31,78,100,1.99,overcast clouds
17,Hobart,AU,-42.8794,147.3294,57.06,63,75,1.99,broken clouds
18,Dikson,RU,73.5069,80.5464,-4.72,97,98,14.16,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,43.5,80,99,3.18,light rain
20,Haines Junction,CA,60.7522,-137.5108,2.46,98,100,2.04,light snow
21,Mataura,NZ,-46.1927,168.8643,58.98,99,100,5.01,light rain
22,Aubenas,FR,44.6201,4.3899,59.16,63,32,13.53,scattered clouds
23,Pevek,RU,69.7008,170.3133,-9.09,81,11,3.76,few clouds
24,Carnot,CF,4.9409,15.8665,95.54,12,93,2.48,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,79.81,70,28,24.58,scattered clouds
26,Vaini,TO,-21.2,-175.2,77.16,88,20,3.44,few clouds
27,Tiksi,RU,71.6872,128.8694,-6.72,100,100,5.73,overcast clouds
28,Chuy,UY,-33.6971,-53.4616,79.93,50,0,6.76,clear sky
29,Bandarbeyla,SO,9.4942,50.8122,77.45,66,81,19.82,broken clouds
30,Kaitangata,NZ,-46.2817,169.8464,61.07,100,100,2.04,overcast clouds
31,Lazaro Cardenas,MX,17.9583,-102.2,69.44,74,0,4.97,clear sky
32,Bambous Virieux,MU,-20.3428,57.7575,80.22,87,100,38.41,moderate rain
33,Cape Town,ZA,-33.9258,18.4232,70.27,87,100,5.01,overcast clouds
34,Balaka,MW,-14.9793,34.9558,80.76,74,23,3.56,light rain
35,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,40,9.22,scattered clouds
36,Hamilton,US,39.1834,-84.5333,44.42,91,100,1.01,moderate rain
37,Tura,IN,25.5198,90.2201,56.59,63,0,3.8,clear sky
38,Split,HR,43.5089,16.4392,57.31,38,20,13.8,few clouds
39,Saint-Paul,RE,-21.0096,55.2707,82.49,88,100,10.67,light rain
40,Tasiilaq,GL,65.6145,-37.6368,14.16,79,100,5.14,overcast clouds
41,Fort Nelson,CA,58.8053,-122.7002,-12.71,97,100,1.95,overcast clouds
42,Lompoc,US,34.6391,-120.4579,48.56,58,0,0.0,clear sky
43,Sampit,ID,-2.5333,112.95,75.61,95,100,3.42,moderate rain
44,Hasaki,JP,35.7333,140.8333,28.8,33,1,3.44,clear sky
45,Hilo,US,19.7297,-155.09,67.8,75,40,8.05,scattered clouds
46,Severo-Kurilsk,RU,50.6789,156.125,26.58,83,93,6.35,overcast clouds
47,Southbridge,US,42.0751,-72.0334,35.74,87,100,1.99,overcast clouds
48,Yellowknife,CA,62.456,-114.3525,-35.45,78,75,3.44,light snow
