City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.49,overcast clouds,-9.8,-139.0333,Villa Enata
2,Port Alfred,ZA,73.15,light rain,-33.5906,26.891,The Halyards Hotel
3,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
4,Payo,ID,72.63,overcast clouds,-3.7508,103.6372,Mess keban agung
5,Auki,SB,78.85,broken clouds,-8.7676,160.7034,Auki Motel
6,Rocha,UY,73.96,moderate rain,-34.4833,-54.3333,Hotel Arrarte
8,Cape Town,ZA,75.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Lazaro Cardenas,MX,79.7,overcast clouds,17.9583,-102.2,quinta antigua
22,Chuy,UY,76.69,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
23,Nuqui,CO,77.7,moderate rain,5.7125,-77.2708,Hotel Nuquimar
24,Mahebourg,MU,83.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
27,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Busselton,AU,83.08,clear sky,-33.65,115.3333,Observatory Guest House
32,Sabang,ID,81.61,broken clouds,5.8933,95.3214,Hotel Citra
36,Umm Lajj,SA,65.1,clear sky,25.0213,37.2685,Moon light Furnished Units
37,Maxixe,MZ,79.12,clear sky,-23.8597,35.3472,Oceano
38,Kapaa,US,69.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Dwarka,IN,72.23,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
42,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
45,Bac Lieu,VN,76.3,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
46,Hualmay,PE,75.65,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
48,Conceicao Do Araguaia,BR,84.0,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
51,Cabo San Lucas,MX,73.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
52,Oeiras,BR,95.16,broken clouds,-7.0253,-42.1311,Hotel SESC Oeiras
54,Souillac,MU,83.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Kawalu,ID,73.0,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
58,Buchanan,LR,93.16,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
59,Rikitea,PF,77.34,light rain,-23.1203,-134.9692,People ThankYou
60,Port Elizabeth,ZA,75.49,few clouds,-33.918,25.5701,39 On Nile Guest House
63,Kisangani,CD,76.14,overcast clouds,0.5167,25.2,Grand Ramela Hotel
64,Waingapu,ID,78.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
65,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
67,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hostel Del Puerto
68,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
71,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
72,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
74,Dunkwa,GH,96.22,few clouds,5.9656,-1.78,Tim Freeman Gold City Hotel
75,Katobu,ID,75.69,overcast clouds,-4.9408,122.5276,La Ode Husein
76,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
77,Bredasdorp,ZA,81.72,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
79,Benjamin Constant,BR,86.13,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
83,Geraldton,AU,85.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
87,Trairi,BR,86.38,scattered clouds,-3.2778,-39.2689,janelas do mar
90,Meulaboh,ID,77.67,overcast clouds,4.1363,96.1285,Kost Pria
92,Mpika,ZM,65.01,light rain,-11.8343,31.4529,Melodies Lodge
93,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
94,Zemio,CF,85.19,overcast clouds,5.0314,25.1361,OCHA Office
97,San Patricio,US,67.93,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
98,Sao Filipe,CV,74.84,broken clouds,14.8961,-24.4956,Hotel Xaguate
99,Hermanus,ZA,74.89,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
100,Sinnamary,GF,81.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
101,Quang Ngai,VN,70.36,overcast clouds,15.1167,108.8,Central Hotel
103,Aransas Pass,US,68.07,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
104,Butaritari,KI,81.77,broken clouds,3.0707,172.7902,Isles Sunset Lodge
106,Kassala,SD,76.8,few clouds,15.451,36.4,Amassi Hotel Gash
110,Castro,BR,76.15,few clouds,-24.7911,-50.0119,CHACARA BAILLY
112,Tabou,CI,83.8,scattered clouds,4.423,-7.3528,hotêl doufoulougou
113,Jizan,SA,81.54,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
116,Abeche,TD,76.68,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
124,Trincomalee,LK,79.95,overcast clouds,8.5711,81.2335,Welcombe Hotel
125,Hithadhoo,MV,82.83,overcast clouds,-0.6,73.0833,Scoop Guest House
126,Wanaka,NZ,67.1,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
127,Cidreira,BR,80.1,overcast clouds,-30.1811,-50.2056,Hotel Castelo
