City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.9258,18.4232,287.74,73,20,2.57,ZA,2021-10-23 21:32:48
1,Harindanga,22.0383,88.3214,299.14,76,30,2.59,IN,2021-10-23 21:32:48
2,Luanda,-8.8368,13.2343,298.15,78,40,3.6,AO,2021-10-23 21:32:48
3,Tupik,54.4253,119.9327,272.6,81,51,1.13,RU,2021-10-23 21:32:49
4,Kiunga,-6.1219,141.2906,298.76,85,71,1.77,PG,2021-10-23 21:32:49
5,Rikitea,-23.1203,-134.9692,296.97,82,97,8.98,PF,2021-10-23 21:31:13
6,Nikolskoye,59.7035,30.7861,275.09,95,98,3.82,RU,2021-10-23 21:28:18
7,Loandjili,-4.7561,11.8578,298.74,86,96,2.97,CG,2021-10-23 21:32:50
8,Hasaki,35.7333,140.8333,278.37,53,1,3.28,JP,2021-10-23 21:27:55
9,Broome,42.2506,-75.833,282.8,78,90,1.54,US,2021-10-23 21:32:51
10,Punta Arenas,-53.15,-70.9167,276.21,81,90,12.86,CL,2021-10-23 21:32:51
11,Hilo,19.7297,-155.09,299.0,79,90,0.0,US,2021-10-23 21:28:11
12,Saint George,37.1041,-113.5841,297.56,23,1,0.45,US,2021-10-23 21:32:52
13,Tiarei,-17.5333,-149.3333,300.16,87,100,6.0,PF,2021-10-23 21:29:39
14,Arraial Do Cabo,-22.9661,-42.0278,296.13,78,0,9.26,BR,2021-10-23 21:32:52
15,Katsuura,35.1333,140.3,284.21,59,49,3.56,JP,2021-10-23 21:32:53
16,Bubaque,11.2833,-15.8333,301.98,70,96,4.75,GW,2021-10-23 21:29:28
17,Kholodnyy,62.7167,147.95,249.71,98,82,0.58,RU,2021-10-23 21:32:53
18,Ushuaia,-54.8,-68.3,273.96,93,75,13.38,AR,2021-10-23 21:32:48
19,Airai,-8.9266,125.4092,290.37,68,28,0.98,TL,2021-10-23 21:32:54
20,Hithadhoo,-0.6,73.0833,301.19,73,70,5.34,MV,2021-10-23 21:32:54
21,Atuona,-9.8,-139.0333,298.88,78,18,8.36,PF,2021-10-23 21:28:22
22,Bay Roberts,47.5999,-53.2648,289.01,93,100,2.24,CA,2021-10-23 21:32:55
23,Ahipara,-35.1667,173.1667,290.14,92,76,2.86,NZ,2021-10-23 21:32:55
24,Cap Malheureux,-19.9842,57.6142,297.42,75,90,2.68,MU,2021-10-23 21:32:33
25,Marsh Harbour,26.5412,-77.0636,299.78,76,98,3.82,BS,2021-10-23 21:32:56
26,Ibra,22.6906,58.5334,296.85,68,3,2.04,OM,2021-10-23 21:32:56
27,Kirakira,-10.4544,161.9205,302.33,69,37,3.94,SB,2021-10-23 21:32:57
28,Sinnar,13.5691,33.5672,304.16,32,1,3.33,SD,2021-10-23 21:32:57
29,Simi,9.5667,-12.35,296.86,96,100,1.32,SL,2021-10-23 21:32:58
